"Anno di Riferimento";"Codice Voce Contabile";"Descrizione Voce Contabile";"Importo Totale";"Data Aggiornamento";
"2008";"A03040";"A.3.B.2.1) Rimborso degli oneri stipendiali del personale  dipendente dell'azienda in posizione di comando v/altri Enti Pubblici";79059000.00;"06/12/2011";
"2008";"A03045";"A.3.B.2.2) Rimborsi per acquisto beni v/altri Enti Pubblici";30973000.00;"23/11/2009";
"2008";"A03050";"A.3.B.2.3) Altri concorsi, recuperi e rimborsi per attivita' tipiche v/Altri Enti Pubblici";91082000.00;"06/12/2011";
"2008";"A03055";"A.3.B.3) Concorsi, recuperi e rimborsi v/Regione";4347000.00;"14/07/2011";
"2008";"A03060";"A.3.B.3.1) Rimborso degli oneri stipendiali del personale dell'azienda in posizione di comando v/Regione";4310000.00;"14/07/2011";
"2008";"A03065";"A.3.B.3.2) Altri concorsi, recuperi e rimborsi per attivita' tipiche v/Regione";37000.00;"09/07/2009";
"2008";"A03070";"A.3.B.4) Concorsi, recuperi e rimborsi v/privati";476328000.00;"06/12/2011";
"2008";"A03075";"A.3.B.4.1) Rimborso da Aziende Farmaceutiche per Pay Back";206701000.00;"06/12/2011";
"2008";"A03080";"A.3.B.4.2) Altri concorsi, recuperi e rimborsi verso privati";269627000.00;"06/12/2011";
"2008";"A04000";"A.4) Compartecipazione alla spesa per prestazioni sanitarie (ticket)";1146347000.00;"06/12/2011";
"2008";"A04005";"A.4.A) Compartecipazione alla spesa per prestazioni sanitarie - Ticket sulle prestazioni di specialistica ambulatoriale";1009861000.00;"06/12/2011";
"2008";"A04010";"A.4.B) Compartecipazione alla spesa per prestazioni sanitarie - Ticket sul pronto soccorso";23245000.00;"06/12/2011";
"2008";"A04015";"A.4.C) Compartecipazione alla spesa per prestazioni sanitarie (ticket)- Altro";113241000.00;"06/12/2011";
"2008";"A05000";"A.5)  Costi capitalizzati";1417234000.00;"06/12/2011";
"2008";"A05005";"A.5.A)  Costi capitalizzati da utilizzo finanziamenti per investimenti (Costi Sterilizzati)";1396887000.00;"06/12/2011";
"2008";"A05010";"A.5.A.1) Costi capitalizzati da utilizzo finanziamenti per investimenti da Regione";1225029000.00;"06/12/2011";
"2008";"A05015";"A.5.A.2) Costi capitalizzati da utilizzo finanziamenti per investimenti dallo Stato";45267000.00;"15/02/2010";
"2008";"A05020";"A.5.A.3) Costi capitalizzati da utilizzo altre poste del patrimonio netto";126591000.00;"14/07/2011";
"2008";"A05025";"A.5.B)  Costi capitalizzati per costi sostenuti in economia";20347000.00;"14/07/2011";
"2008";"A99999";"Totale valore della produzione (A)";108769000000.00;"06/12/2011";
"2008";"B01000";"B.1)  Acquisti di beni";13198441000.00;"06/12/2011";
"2008";"B01005";"B.1.A)  Acquisti di beni sanitari";12461740000.00;"06/12/2011";
"2008";"B01010";"B.1.A.1)  Prodotti farmaceutici ed emoderivati";6092290000.00;"06/12/2011";
"2008";"B01015";"B.1.A.2)  Ossigeno";107847000.00;"06/12/2011";
"2008";"B01020";"B.1.A.3)  Prodotti dietetici";49305000.00;"06/12/2011";
"2008";"B01025";"B.1.A.4)  Materiali per la profilassi (vaccini)";255877000.00;"06/12/2011";
"2008";"B01030";"B.1.A.5)  Materiali diagnostici prodotti chimici";1436021000.00;"06/12/2011";
